"","EmployeeId","FormSectionTitle","CompetencyModel","ReviewTaskTitle","StepTitle","CompetencyName","CompetencyItem","CompetencyRating","CompetencyItemRating"
"1",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1A: UNIT/MODULE PLANNING","I: Unit Scope",4.6,5
"2",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1A: UNIT/MODULE PLANNING","I: Unit Scope",4.6,5
"3",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1A: UNIT/MODULE PLANNING","II: Grade-Level Mastery",4.6,4
"4",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1A: UNIT/MODULE PLANNING","II: Grade-Level Mastery",4.6,4
"5",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1A: UNIT/MODULE PLANNING","III: Unit Sequence",4.6,4
"6",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1A: UNIT/MODULE PLANNING","III: Unit Sequence",4.6,4
"7",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1A: UNIT/MODULE PLANNING","IV: Plan for Misconceptions",4.6,5
"8",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1A: UNIT/MODULE PLANNING","IV: Plan for Misconceptions",4.6,5
"9",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1A: UNIT/MODULE PLANNING","V: Unit Customization",4.6,5
"10",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1A: UNIT/MODULE PLANNING","V: Unit Customization",4.6,5
"11",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1B: LESSON INTERNALIZATION/PLANNING","I: Smart Objectives",4.5,5
"12",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1B: LESSON INTERNALIZATION/PLANNING","I: Smart Objectives",4.375,5
"13",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Self Review","Guidepost 1B: LESSON INTERNALIZATION/PLANNING","II: Lesson Assessment",4.5,4
"14",61028,"2023-24 APR Part 4: Competency Assessment Ratings","23-24 GET Rubric Revised","2023-24 APR Teacher TX","Manager Review","Guidepost 1B: LESSON INTERNALIZATION/PLANNING","II: Lesson Assessment",4.375,4
