User ID,Form Section Title,Competency Model,Review Task Title,Step Title,Competency Name,Competency Item,Competency Rating,Competency Item Rating,TFA
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1A: UNIT/MODULE PLANNING,I: Unit Scope,4.6,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1A: UNIT/MODULE PLANNING,II: Grade-Level Mastery,4.6,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1A: UNIT/MODULE PLANNING,III: Unit Sequence,4.6,4,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1A: UNIT/MODULE PLANNING,IV: Plan for Misconceptions,4.6,4,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1A: UNIT/MODULE PLANNING,V: Unit Customization,4.6,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,I: Smart Objectives,4.625,4,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,II: Lesson Assessment,4.625,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,III: Exemplars,4.625,4,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,IV: Writing &amp; Speaking,4.625,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,V: Student Supports,4.625,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,VI: Plan for Struggle,4.625,5,1
18298,2023-24 APR Part 4: Competency Assessment Ratings,23-24 GET Rubric Revised,2023-24 APR Teacher TX,Manager Review,Guidepost 1B: LESSON INTERNALIZATION/PLANNING,VII: Plan for Feedback,4.625,4,1
